URL,Page Name,Current Description,Option 1,Option 2,Option 3,Chosen (leave blank)
/,Homepage,*** MISSING ***,"Free SEO tools for the problems that should take 30 seconds but never do. Schema markup, hreflang, robots.txt, GSC regex, SERP preview and more. No logins.","Free SEO tools for technical SEO and e-commerce specialists. Schema generators, hreflang, robots.txt, GSC regex, SERP preview. No account. No nonsense.","MagsTags: free SEO tools built by an SEO specialist, for SEO specialists. Schema markup, hreflang, robots.txt, regex, SERP preview. Just open and use.",
/seo-tools/,SEO Tools Hub,*** MISSING ***,"All SEO tools in one place — schema generators, hreflang, robots.txt, GSC regex, SERP preview, feed analysis. Free, no logins, no subscriptions.","Free and paid SEO tools for technical SEO and e-commerce. Schema markup, hreflang, GSC regex, robots.txt, SERP preview, GMC feed analysis. Built by an SEO specialist.","The SEO toolkit for problems that should be faster than they are. Schema generators, hreflang, robots.txt, regex, SERP preview. Free. No account needed.",
/free-seo-tools/,Free SEO Tools,*** MISSING ***,"All free SEO tools — schema markup generators, hreflang, robots.txt, GSC regex, SERP preview, and GMC feed analysis. No account. No trial. No catch.","Free SEO tools for technical SEO specialists. Schema generators, hreflang tag builder, robots.txt generator, GSC regex, SERP preview. Just use them.","Schema markup, hreflang, robots.txt, GSC regex, SERP preview — all free, all client-side. No logins. No 'your free trial has ended.' Just tools.",
/learn-seo/,Learn SEO Hub,"Practical SEO guides covering structured data, technical SEO, and e-commerce optimisation. Free resources for SEO specialists and developers.","Structured data, technical SEO, e-commerce optimisation. Practical guides written by someone who's been in the validator at midnight and lived to tell the tale.","SEO guides with actual answers. Product schema, structured data, technical SEO — written for specialists who don't need 'SEO is important because visibility' as an intro.","Free SEO guides on structured data and technical SEO. Written by an SEO specialist, for SEO specialists. No padding. No 'it depends.' Just what you came for.",
/hreflang-generator/,Hreflang Generator,"Generate correct hreflang tags in seconds. HTML, XML sitemap, and HTTP header formats. Each output block contains the full set of tags for every page — paste it onto each page to get bidirectionality right. Free, no signup.","Free hreflang tag generator. HTML, XML sitemap, and HTTP header formats. Full bidirectional tag set for every page — paste and done. No signup.","Generate correct hreflang markup for multilingual sites. All formats supported — HTML, XML sitemap, HTTP headers. Bidirectional by default. Free, no account.","Hreflang tag generator that gets the reciprocal tags right. HTML, XML sitemap, and HTTP header output. Full tag set for every URL in the group. Free.",
/gsc-regex-generator/,GSC Regex Builder,*** MISSING ***,"Free RE2 regex builder for Google Search Console. 22 ready-made templates, live validation, plain-English explanations. Filter URLs and queries without the guesswork.","Build RE2 regex for Google Search Console URL and query filtering. 22 templates, live tester, and explanations in actual English. No regex expertise required.","GSC regex generator for URL and query filtering. RE2 syntax, 22 templates, live validation. The part of Search Console that looks like a password field — explained.",
/robots-txt-generator/,Robots.txt Generator,"Generate a valid robots.txt file visually. Set rules per bot, block AI crawlers, add your sitemap — copy or download in seconds. Free, no signup.","Free robots.txt generator. Set crawl rules per bot, block AI crawlers, add your sitemap. Copy or download a valid file instantly — no syntax errors, no guesswork.","Build a valid robots.txt file without touching a text editor. Rules per bot, AI crawler blocking, sitemap URL. Download instantly. Free, no account.","Robots.txt generator for SEOs who'd rather not touch it manually. Set rules per bot, block directories, add sitemap, keep AI crawlers out. Free, no signup.",
/serp-preview/,SERP Snippet Previewer,*** MISSING ***,"Free SERP preview tool. See exactly how your title and meta description look in Google Search before you publish — truncation flagged live. No guessing.","Pixel-accurate Google SERP preview. Check title and description rendering before publishing. Live truncation warnings. Free, no account needed.","SERP snippet preview tool — see your title and meta description as Google shows them. Pixel-accurate, live truncation warnings. Free.",
/gmc-feed-analyzer/,GMC Feed Analyzer,*** MISSING ***,"Free Google Merchant Centre feed analyzer. Upload your CSV, TSV, XML or JSON feed and get a prioritised list of errors mapped to the official spec. No GMC account needed.","GMC feed validator for Google Shopping. Upload your product feed and get a clear breakdown of errors, warnings, and fixes — mapped to the official Google spec.","Validate your Google Merchant Centre product feed. Prioritised issues, plain-English fixes, mapped to the official spec. CSV, TSV, XML, JSON supported. Free.",
/ecommerce-schema-generator/,E-commerce Schema Generator,"Generate JSON-LD Product structured data for Google rich results. Product Snippet, Merchant Listing, and Product Variants — free generator, no account needed.","Free JSON-LD generator for Product structured data. Product Snippet for star ratings, Merchant Listing for Shopping, ProductGroup for variants. No account needed.","Generate Product structured data JSON-LD for Google rich results. Three types — choose the one that matches your page. Free, client-side, no signup.","Product schema generator for SEOs and developers. Product Snippet, Merchant Listing, ProductGroup — valid JSON-LD, correct structure, ready to implement. Free.",
/product-snippet-schema-generator/,Product Snippet Schema Generator,"Generate Product Snippet JSON-LD structured data for star ratings, reviews, pros and cons, and pricing in Google Search. Free tool, no account needed.","Free Product Snippet schema generator. JSON-LD for star ratings, reviews, pros and cons, and pricing in Google organic results. No account needed.","Generate Product Snippet structured data (JSON-LD) for Google Search. Star ratings, individual reviews, pros/cons, pricing. Free, client-side, no signup.","Product Snippet JSON-LD generator — get star ratings, reviews, pros and cons, and pricing into your Google Search snippet. Free, no account.",
/merchant-listing-schema-generator/,Merchant Listing Schema Generator,"Generate Merchant Listing structured data (JSON-LD) for Google Shopping, Popular Products, price drop alerts, shipping and returns. Free tool, no account needed.","Free Merchant Listing schema generator. JSON-LD for Google Shopping, Popular Products, price drop alerts, shipping details and return policy. No account needed.","Generate Merchant Listing structured data (JSON-LD) — unlock Google Shopping, Popular Products, and price drop alerts. Pricing, GTIN, shipping, returns. Free.","Merchant Listing JSON-LD generator for Google Shopping. Pricing, availability, GTIN, shipping, returns — generate clean structured data, ready to implement. Free.",
/product-variants-schema-generator/,ProductGroup Schema Generator,"Generate ProductGroup structured data (JSON-LD) for product variants — colour swatches, size options, and variant-specific pricing in Google Shopping. Free tool, no account needed.","Free ProductGroup schema generator. JSON-LD for product variants — colour, size, material, pattern. Colour swatches in Shopping, variant-specific pricing. No account.","Generate ProductGroup structured data (JSON-LD) for products with colour, size, or material variants. Colour swatches in Google Shopping. Nested or flat output. Free.","ProductGroup JSON-LD generator for product variants — colour swatches, size options, variant pricing in Google Shopping. Clean output, no account needed. Free.",
/product-schema/,Product Schema Overview,"An introduction to Product structured data for Google Search. Learn the three types — Product Snippet, Merchant Listing, and Product Variants — and when to use each.","Product structured data for Google Search — explained clearly. The three types, when to use each, and what each one actually gets you. Free JSON-LD generator included.","Learn the three types of Product schema: Product Snippet, Merchant Listing, and ProductGroup. When to use each, what Google shows, and how to implement correctly.","Product schema markup guide for SEOs. Product Snippet, Merchant Listing, ProductGroup — the differences, the use cases, and the JSON-LD. Free generator included.",
/product-snippet-schema/,Product Snippet Schema Guide,"Learn how to implement Product Snippet structured data (JSON-LD) to show star ratings, reviews, pros and cons, and pricing in Google Search. Free generator included.","How to implement Product Snippet schema for star ratings, reviews, pros and cons, and pricing in Google Search. Fields, rules, examples. Free JSON-LD generator.","Product Snippet structured data guide — get stars, reviews, pros/cons, and pricing in your Google Search snippet. Implementation guide + free JSON-LD generator.","Learn Product Snippet schema markup for Google rich results. Star ratings, review data, pros and cons, pricing — what's required, what's optional, how to implement.",
/merchant-listing-schema/,Merchant Listing Schema Guide,"Learn how to implement Merchant Listing structured data (JSON-LD) to appear in Google Shopping, Popular Products, and get price drop alerts. Free generator included.","How to implement Merchant Listing schema for Google Shopping, Popular Products, and price drop alerts. Fields, requirements, examples. Free JSON-LD generator.","Merchant Listing structured data guide — unlock Google Shopping, Popular Products, and free price drop alerts. Implementation guide + free JSON-LD generator.","Learn Merchant Listing schema markup for Google Shopping. Pricing, availability, GTIN, shipping, returns — what's required and how to implement it correctly.",
/product-variants-schema/,ProductGroup & Variants Guide,"Learn how to implement Product Variants structured data using ProductGroup schema to show colour swatches, size options, and variant pricing in Google Shopping. Free generator included.","How to implement ProductGroup schema for product variants — colour swatches, size options, variant pricing in Google Shopping. Implementation guide + free generator.","ProductGroup structured data guide — colour swatches, variant pricing, size options in Google Shopping. hasVariant, variesBy, and how to get it right. Free generator.","Learn ProductGroup schema for product variants. Colour, size, material, pattern — variant-specific pricing and swatches in Google Shopping. Implementation guide.",
/mags-sikora/,Mags Sikora,"Mags Sikora is a Freelance SEO Consultant and Director of SEO at Intrepid Digital, with 18+ years of experience in enterprise search programmes.","Mags Sikora — Senior SEO Strategist and Director of SEO at Intrepid Digital. 18 years in enterprise SEO, international markets, and e-commerce search.","Mags Sikora: SEO strategist with 18 years in enterprise search. Expedia, dnata Emirates Group, Intrepid Digital. Large-scale migrations, international SEO, e-commerce.","Senior SEO Strategist. Director of SEO at Intrepid Digital. 18 years leading search programmes for global e-commerce, travel, and publishing businesses.",
/contact/,Contact,"Get in touch with Mags — questions, feedback, or collaboration enquiries.","Questions about the tools, collaboration enquiries, or interesting SEO problems — send a message. Mags reads and replies to everything. Except link exchange requests.","Get in touch with Mags Sikora — questions, feedback, collaboration, or SEO problems worth discussing. Real replies from a real person.","Contact Mags Sikora — questions, tool feedback, collaboration enquiries. Direct, no autoresponder, no nurture sequence. Just a reply.",
